	sample1	sample4	sample2	sample3
DDX11L1	0	0	0	0
WASH7P	79	111	187	149
MIR6859-1	2	5	9	14
MIR1302-2HG	2	4	2	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC124903816	0	0	0	0
LOC124900384	19	12	15	8
LOC729737	119	43	47	58
LOC124903814	0	0	0	0
DDX11L17	11	2	20	15
LOC100996442	89	65	112	99
MIR6859-2	1	0	2	0
LOC127239154	0	0	0	0
LOC124903815	1	0	0	0
LOC124900618	1	0	1	0
LOC112268260	0	0	0	0
OR4F29	0	0	0	0
LOC100132287	19	7	6	7
LOC124904706	0	2	1	0
LOC105378947	0	0	0	0
LOC101928626	0	0	0	0
MIR12136	6	9	2	3
OR4F16	3	1	1	0
LOC100288069	73	60	132	122
LINC01409	77	39	66	89
LOC124903817	12	6	26	43
FAM87B	17	7	38	45
LINC00115	49	51	66	74
LINC01128	201	242	451	432
LOC107984850	1	0	3	1
FAM41C	1	1	1	3
LOC284600	20	16	393	439
LINC02593	0	0	180	151
LOC107985728	0	2	611	504
SAMD11	22	19	2068	1699
NOC2L	4742	6410	3797	2986
KLHL17	665	615	852	655
PLEKHN1	27	24	41	34
PERM1	0	0	3	2
HES4	39	38	794	867
ISG15	287	371	394	213
AGRN	7332	8316	20413	15672
LOC100288175	44	22	13	10
LOC105378948	17	5	49	33
RNF223	3	1	7	5
C1orf159	362	361	665	459
LOC124903819	0	1	2	2
LOC124903820	25	19	51	27
LINC01342	3	2	0	0
LOC124903818	71	116	374	359
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	5	2	6	8
TTLL10	14	10	18	10
TNFRSF18	14	18	13	5
TNFRSF4	7	2	3	10
SDF4	2183	2506	3762	2451
B3GALT6	759	1068	2263	1740
C1QTNF12	57	30	64	67
UBE2J2	1491	1772	1607	1251
SCNN1D	64	59	256	240
ACAP3	784	1022	1200	991
MIR6726	0	0	0	0
SNORD167	9	7	6	9
PUSL1	927	1133	533	446
INTS11	2205	2700	3083	2511
MIR6727	0	0	0	0
CPTP	334	460	543	417
TAS1R3	160	131	247	189
DVL1	2760	2911	2836	2320
MIR6808	0	0	0	0
MXRA8	194	282	5921	4563
AURKAIP1	2478	3566	2293	1598
CCNL2	2528	2567	5759	5468
MRPL20-AS1	392	592	799	595
MRPL20	1377	1899	1311	999
MRPL20-DT	123	185	196	177
ANKRD65	30	41	83	57
ANKRD65-AS1	10	12	26	29
TMEM88B	39	55	36	30
LINC01770	44	54	33	23
LOC107985729	63	65	37	36
VWA1	989	1529	741	425
ATAD3C	15	14	12	5
ATAD3B	1983	3118	1590	1382
ATAD3A	1772	2717	1342	1138
TMEM240	61	46	89	78
SSU72	3035	3325	2490	1855
FNDC10	340	270	126	76
LOC105378586	4	4	0	2
MIB2	534	530	1023	822
LOC124903821	74	77	170	173
MMP23B	60	61	273	236
CDK11B	975	959	995	813
SLC35E2B	2030	2358	3701	2850
MMP23A	1	1	4	0
CDK11A	184	182	249	186
SLC35E2A	406	371	738	681
LOC112268218	2	2	2	1
NADK	1765	2051	1970	1560
GNB1	10807	10166	11154	9075
GNB1-DT	17	22	36	32
LOC124903822	13	6	15	15
CALML6	21	6	5	7
TMEM52	240	255	87	67
CFAP74	4	3	8	10
LOC107984872	0	1	0	0
LOC105378589	26	17	0	1
GABRD	29	17	1	1
LOC105378590	9	11	3	0
PRKCZ	763	766	849	558
PRKCZ-DT	1	6	5	7
PRKCZ-AS1	38	46	72	83
FAAP20	748	771	1101	746
LOC112268219	115	146	188	158
LOC105378593	11	7	22	20
LOC124903823	0	0	0	1
SKI	3714	2987	3580	2979
LOC124903824	49	66	360	246
MORN1	154	178	600	535
LOC100129534	24	45	142	106
