	treatment	Concentration	cell_line	cell_type	replicate
CTRL_1	Control	0nM	MSN05	cardiomyocytes	1
CTRL_2	Control	0nM	MSN05	cardiomyocytes	2
CTRL_3	Control	0nM	MSN05	cardiomyocytes	3
CTRL_4	Control	0nM	MSN05	cardiomyocytes	4
CTRL_5	Control	0nM	MSN05	cardiomyocytes	5
CTRL_6	Control	0nM	MSN05	cardiomyocytes	6
CTRL_7	Control	0nM	MSN05	cardiomyocytes	7
CTRL_8	Control	0nM	MSN05	cardiomyocytes	8
CTRL_9	Control	0nM	MSN05	cardiomyocytes	9
CTRL_10	Control	0nM	MSN05	cardiomyocytes	10
CTRL_11	Control	0nM	MSN05	cardiomyocytes	11
CTRL_12	Control	0nM	MSN05	cardiomyocytes	12
GEF_1	Gefitinib	1uM	MSN05	cardiomyocytes	1
GEF_2	Gefitinib	1uM	MSN05	cardiomyocytes	2
GEF_3	Gefitinib	1uM	MSN05	cardiomyocytes	3
GEF_4	Gefitinib	1uM	MSN05	cardiomyocytes	4
IDA_1	Idarubicin	0.2uM	MSN05	cardiomyocytes	1
IDA_2	Idarubicin	0.2uM	MSN05	cardiomyocytes	2
IDA_3	Idarubicin	0.2uM	MSN05	cardiomyocytes	3
IDA_4	Idarubicin	0.2uM	MSN05	cardiomyocytes	4
